class_tag,Overall score Excellent,Overall score Very Good,Overall score Good,Overall score Fair,Overall score Unsatisfactory,Overall score Course Mean,Overall score FAS Mean,Materials Excellent,Materials Very Good,Materials Good,Materials Fair,Materials Unsatisfactory,Materials Course Mean,Materials FAS Mean,Assignments Excellent,Assignments Very Good,Assignments Good,Assignments Fair,Assignments Unsatisfactory,Assignments Course Mean,Assignments FAS Mean,Feedback Excellent,Feedback Very Good,Feedback Good,Feedback Fair,Feedback Unsatisfactory,Feedback Course Mean,Feedback FAS Mean,Section Excellent,Section Very Good,Section Good,Section Fair,Section Unsatisfactory,Section Course Mean,Section FAS Mean,mean_hours
AFRAMER 390 042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRAMER 391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRAMER 391 010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRAMER 391 040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRAMER 391 041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRAMER 391 042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRAMER 392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRAMER 392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRAMER 398 001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRAMER 398 002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRAMER 398 003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRAMER 398 005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRAMER 398 006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRAMER 398 007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRAMER 398 008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRAMER 398 009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRAMER 398 010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRAMER 398 011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRAMER 398 012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRAMER 398 013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRAMER 398 014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRAMER 398 015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRAMER 398 016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRAMER 398 018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRAMER 398 019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRAMER 398 020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRAMER 398 021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRAMER 398 022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRAMER 398 023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRAMER 398 024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRAMER 398 025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRAMER 398 026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRAMER 398 027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRAMER 398 029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRAMER 398 030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRAMER 398 031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRAMER 398 031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRAMER 398 032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRAMER 398 033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRAMER 398 034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRAMER 398 035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRAMER 398 036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRAMER 398 037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRAMER 398 038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRAMER 398 039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRAMER 398 040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRAMER 398 040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRAMER 398 041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRAMER 398 041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRAMER 398 042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRAMER 399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRAMER 399 031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRAMER 399 040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRAMER 399 041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRAMER 399 042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRIKAAN AA,78%,11%,6%,6%,0%,4.61,4.20,72%,6%,17%,0%,6%,4.39,4.18,78%,17%,0%,0%,6%,4.61,4.04,67%,22%,0%,6%,6%,4.39,4.07,93%,7%,0%,0%,0%,4.93,4.20,dary Field or Language Citation Requirement 0
AFRIKAAN AB,100%,0%,0%,0%,0%,5.00,4.22,94%,6%,0%,0%,0%,4.94,4.22,94%,6%,0%,0%,0%,4.94,4.10,88%,13%,0%,0%,0%,4.88,4.11,91%,0%,9%,0%,0%,4.82,4.25,dary Field or Language Citation Requirement 1
AFRIKAAN 101BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFVS 11G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFVS 12,82%,18%,0%,0%,0%,4.82,4.20,78%,22%,0%,0%,0%,4.78,4.18,70%,20%,10%,0%,0%,4.60,4.04,70%,10%,20%,0%,0%,4.50,4.07,100%,0%,0%,0%,0%,5.00,4.20,6.10
AFVS 14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFVS 15AR,22%,44%,33%,0%,0%,3.89,4.20,13%,13%,63%,13%,0%,3.25,4.18,38%,38%,13%,0%,13%,3.88,4.04,33%,11%,33%,22%,0%,3.56,4.07,N/A,N/A,N/A,N/A,N/A,NRP,4.20,6.33
AFVS 19K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
