class_tag,Overall score Excellent,Overall score Very Good,Overall score Good,Overall score Fair,Overall score Unsatisfactory,Overall score Course Mean,Overall score FAS Mean,Materials Excellent,Materials Very Good,Materials Good,Materials Fair,Materials Unsatisfactory,Materials Course Mean,Materials FAS Mean,Assignments Excellent,Assignments Very Good,Assignments Good,Assignments Fair,Assignments Unsatisfactory,Assignments Course Mean,Assignments FAS Mean,Feedback Excellent,Feedback Very Good,Feedback Good,Feedback Fair,Feedback Unsatisfactory,Feedback Course Mean,Feedback FAS Mean,Section Excellent,Section Very Good,Section Good,Section Fair,Section Unsatisfactory,Section Course Mean,Section FAS Mean,mean_hours
HIST-LIT 90EK,83%,0%,0%,17%,0%,4.50,4.23,86%,0%,14%,0%,0%,4.71,4.24,71%,14%,14%,0%,0%,4.57,4.09,71%,29%,0%,0%,0%,4.71,4.13,67%,33%,0%,0%,0%,4.67,4.24,7.00
HIST-LIT 90ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST-LIT 90EY,50%,25%,0%,25%,0%,4.00,4.17,50%,25%,25%,0%,0%,4.25,4.16,50%,25%,0%,25%,0%,4.00,4.02,25%,75%,0%,0%,0%,4.25,4.03,N/A,N/A,N/A,N/A,N/A,NRP,4.17,8.00
HIST-LIT 90EZ,91%,9%,0%,0%,0%,4.91,4.20,91%,9%,0%,0%,0%,4.91,4.18,73%,27%,0%,0%,0%,4.73,4.04,82%,18%,0%,0%,0%,4.82,4.07,100%,0%,0%,0%,0%,5.00,4.20,5.60
HIST-LIT 90FI,86%,14%,0%,0%,0%,4.86,4.20,86%,14%,0%,0%,0%,4.86,4.18,57%,29%,14%,0%,0%,4.43,4.04,71%,14%,14%,0%,0%,4.57,4.07,50%,0%,50%,0%,0%,4.00,4.20,4.17
HIST-LIT 90FJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST-LIT 90FL,100%,0%,0%,0%,0%,5.00,4.20,86%,14%,0%,0%,0%,4.86,4.18,57%,43%,0%,0%,0%,4.57,4.04,71%,29%,0%,0%,0%,4.71,4.07,100%,0%,0%,0%,0%,5.00,4.20,5.86
HIST-LIT 90FZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST-LIT 90GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST-LIT 90GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST-LIT 90GC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST-LIT 90GD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST-LIT 90GE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST-LIT 90GF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST-LIT 90GH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST-LIT 90GI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST-LIT 90GJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST-LIT 90GK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST-LIT 90GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST-LIT 91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST-LIT 91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST-LIT 93AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST-LIT 93AB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST-LIT 93AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST-LIT 93AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST-LIT 97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST-LIT 98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST-LIT 98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST-LIT 99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST-LIT 99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 1009,54%,33%,8%,4%,0%,4.38,4.18,50%,38%,8%,4%,0%,4.33,4.19,32%,41%,27%,0%,0%,4.05,4.05,43%,29%,14%,10%,5%,3.95,4.08,50%,27%,18%,5%,0%,4.23,4.22,6.08
HIST 1016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 1017,67%,25%,0%,8%,0%,4.50,4.17,92%,0%,8%,0%,0%,4.83,4.16,42%,33%,25%,0%,0%,4.17,4.02,42%,33%,25%,0%,0%,4.17,4.03,58%,25%,17%,0%,0%,4.42,4.17,4.91
HIST 1018,42%,33%,18%,3%,3%,4.09,4.18,30%,18%,39%,9%,3%,3.64,4.19,64%,21%,3%,12%,0%,4.36,4.05,50%,21%,24%,6%,0%,4.15,4.08,52%,18%,9%,18%,3%,3.97,4.22,3.45
HIST 1024,61%,30%,7%,1%,1%,4.46,4.20,46%,36%,14%,4%,0%,4.23,4.18,57%,32%,10%,1%,0%,4.43,4.04,46%,39%,14%,1%,0%,4.29,4.07,45%,20%,23%,7%,4%,3.94,4.20,4.42
HIST 1029,63%,25%,13%,0%,0%,4.50,4.22,63%,13%,19%,6%,0%,4.31,4.22,47%,33%,7%,13%,0%,4.13,4.10,43%,14%,21%,14%,7%,3.71,4.11,27%,0%,33%,33%,7%,3.07,4.25,3.60
HIST 1033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 1039,50%,30%,20%,0%,0%,4.30,4.18,40%,30%,30%,0%,0%,4.10,4.19,40%,50%,10%,0%,0%,4.30,4.05,40%,40%,10%,10%,0%,4.10,4.08,90%,10%,0%,0%,0%,4.90,4.22,3.90
HIST 1045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 1056,52%,13%,13%,9%,13%,3.83,4.17,39%,26%,17%,9%,9%,3.78,4.16,43%,22%,13%,13%,9%,3.78,4.02,43%,13%,26%,4%,13%,3.70,4.03,52%,22%,13%,9%,4%,4.09,4.17,3.57
HIST 1115,80%,20%,0%,0%,0%,4.80,4.22,60%,40%,0%,0%,0%,4.60,4.22,100%,0%,0%,0%,0%,5.00,4.10,100%,0%,0%,0%,0%,5.00,4.11,100%,0%,0%,0%,0%,5.00,4.25,5.20
HIST 1125,80%,0%,20%,0%,0%,4.60,4.22,70%,25%,0%,5%,0%,4.60,4.22,55%,30%,10%,0%,5%,4.30,4.10,53%,21%,5%,16%,5%,4.00,4.11,100%,0%,0%,0%,0%,5.00,4.25,5.22
HIST 1134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 1155,26%,24%,24%,24%,3%,3.47,4.17,27%,35%,24%,14%,0%,3.76,4.16,43%,19%,22%,16%,0%,3.89,4.02,41%,24%,16%,19%,0%,3.86,4.03,35%,14%,19%,30%,3%,3.49,4.17,3.03
HIST 1217,60%,31%,6%,0%,3%,4.46,4.18,74%,26%,0%,0%,0%,4.74,4.19,59%,22%,19%,0%,0%,4.41,4.05,14%,11%,20%,23%,31%,2.54,4.08,75%,25%,0%,0%,0%,4.75,4.22,4.70
HIST 1219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 1223,78%,17%,4%,0%,0%,4.74,4.18,74%,13%,9%,4%,0%,4.57,4.19,57%,30%,13%,0%,0%,4.43,4.05,70%,22%,9%,0%,0%,4.61,4.08,74%,22%,4%,0%,0%,4.70,4.22,4.91
HIST 1225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 1265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 1270,46%,38%,15%,0%,0%,4.31,4.20,46%,38%,8%,8%,0%,4.23,4.18,33%,42%,8%,8%,8%,3.83,4.04,33%,33%,22%,11%,0%,3.89,4.07,33%,67%,0%,0%,0%,4.33,4.20,6.92
HIST 1280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 1300,35%,45%,5%,10%,5%,3.95,4.17,45%,40%,10%,5%,0%,4.25,4.16,45%,40%,5%,10%,0%,4.20,4.02,40%,35%,10%,10%,5%,3.95,4.03,60%,25%,0%,5%,10%,4.20,4.17,5.00
HIST 1301,70%,10%,10%,10%,0%,4.40,4.18,67%,33%,0%,0%,0%,4.67,4.19,56%,33%,11%,0%,0%,4.44,4.05,44%,33%,11%,11%,0%,4.11,4.08,70%,10%,0%,20%,0%,4.30,4.22,5.10
HIST 1323,71%,21%,8%,0%,0%,4.63,4.26,68%,23%,9%,0%,0%,4.59,4.25,57%,10%,19%,14%,0%,4.10,4.10,55%,10%,20%,10%,5%,4.00,4.11,65%,29%,6%,0%,0%,4.59,4.22,7.95
HIST 1324,76%,18%,0%,6%,0%,4.65,4.23,72%,28%,0%,0%,0%,4.72,4.24,56%,44%,0%,0%,0%,4.56,4.09,67%,33%,0%,0%,0%,4.67,4.13,93%,7%,0%,0%,0%,4.93,4.24,9.53
HIST 1390,57%,29%,14%,0%,0%,4.43,4.17,43%,29%,29%,0%,0%,4.14,4.16,43%,29%,29%,0%,0%,4.14,4.02,57%,29%,14%,0%,0%,4.43,4.03,N/A,N/A,N/A,N/A,N/A,NRP,4.17,8.71
HIST 1405,29%,21%,43%,7%,0%,3.71,4.17,29%,29%,29%,14%,0%,3.71,4.16,50%,13%,13%,25%,0%,3.88,4.02,33%,0%,0%,33%,33%,2.67,4.03,100%,0%,0%,0%,0%,5.00,4.17,4.93
HIST 1511,64%,23%,14%,0%,0%,4.50,4.17,55%,27%,9%,9%,0%,4.27,4.16,45%,23%,14%,14%,5%,3.91,4.02,41%,36%,18%,0%,5%,4.09,4.03,67%,19%,5%,10%,0%,4.43,4.17,5.43
HIST 1520,63%,31%,0%,6%,0%,4.50,4.17,56%,38%,6%,0%,0%,4.50,4.16,69%,13%,19%,0%,0%,4.50,4.02,63%,25%,13%,0%,0%,4.50,4.03,79%,14%,0%,7%,0%,4.64,4.17,5.13
HIST 1602,74%,21%,2%,2%,0%,4.67,4.20,62%,29%,2%,5%,2%,4.43,4.18,57%,31%,12%,0%,0%,4.45,4.04,71%,10%,17%,2%,0%,4.49,4.07,88%,10%,2%,0%,0%,4.86,4.20,4.88
HIST 1700,50%,50%,0%,0%,0%,4.50,4.20,13%,63%,25%,0%,0%,3.88,4.18,14%,57%,29%,0%,0%,3.86,4.04,71%,14%,14%,0%,0%,4.57,4.07,86%,14%,0%,0%,0%,4.86,4.20,4.75
HIST 1776,26%,43%,17%,4%,9%,3.74,4.17,45%,36%,5%,14%,0%,4.14,4.16,18%,41%,27%,5%,9%,3.55,4.02,33%,43%,14%,5%,5%,3.95,4.03,42%,37%,11%,5%,5%,4.05,4.17,8.10
HIST 1800,67%,25%,8%,0%,0%,4.58,4.20,67%,25%,8%,0%,0%,4.58,4.18,58%,33%,8%,0%,0%,4.50,4.04,50%,33%,17%,0%,0%,4.33,4.07,58%,17%,17%,8%,0%,4.25,4.20,8.50
HIST 1878B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 1901,73%,18%,9%,0%,0%,4.64,4.22,55%,27%,18%,0%,0%,4.36,4.22,55%,18%,27%,0%,0%,4.27,4.10,50%,30%,20%,0%,0%,4.30,4.11,44%,33%,22%,0%,0%,4.22,4.25,5.30
HIST 1902,91%,9%,0%,0%,0%,4.91,4.20,100%,0%,0%,0%,0%,5.00,4.18,100%,0%,0%,0%,0%,5.00,4.04,100%,0%,0%,0%,0%,5.00,4.07,100%,0%,0%,0%,0%,5.00,4.20,6.27
HIST 1913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 1921,83%,17%,0%,0%,0%,4.83,4.18,83%,17%,0%,0%,0%,4.83,4.19,67%,33%,0%,0%,0%,4.67,4.05,83%,17%,0%,0%,0%,4.83,4.08,100%,0%,0%,0%,0%,5.00,4.22,4.67
HIST 1931,80%,20%,0%,0%,0%,4.80,4.26,40%,40%,20%,0%,0%,4.20,4.25,80%,20%,0%,0%,0%,4.80,4.10,60%,20%,20%,0%,0%,4.40,4.11,N/A,N/A,N/A,N/A,N/A,NRP,4.22,8.80
HIST 1939,64%,27%,9%,0%,0%,4.55,4.26,60%,30%,10%,0%,0%,4.50,4.25,55%,27%,18%,0%,0%,4.36,4.10,45%,27%,27%,0%,0%,4.18,4.11,25%,50%,25%,0%,0%,4.00,4.22,8.60
HIST 1952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 1957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 1973,58%,33%,8%,0%,0%,4.50,4.18,67%,17%,17%,0%,0%,4.50,4.19,58%,17%,25%,0%,0%,4.33,4.05,58%,42%,0%,0%,0%,4.58,4.08,0%,67%,33%,0%,0%,3.67,4.22,2.36
HIST 1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 2029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 2045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 2055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 2056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 2080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 2120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 2130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 2220A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 2220B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 2260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 2271,100%,0%,0%,0%,0%,5.00,4.17,60%,40%,0%,0%,0%,4.60,4.16,60%,40%,0%,0%,0%,4.60,4.02,60%,20%,20%,0%,0%,4.40,4.03,50%,50%,0%,0%,0%,4.50,4.17,14.00
HIST 2400,80%,20%,0%,0%,0%,4.80,4.17,60%,40%,0%,0%,0%,4.60,4.15,40%,60%,0%,0%,0%,4.40,4.00,80%,20%,0%,0%,0%,4.80,3.95,100%,0%,0%,0%,0%,5.00,4.10,12.50
HIST 2442,57%,43%,0%,0%,0%,4.57,4.17,40%,60%,0%,0%,0%,4.40,4.15,50%,33%,17%,0%,0%,4.33,4.00,60%,40%,0%,0%,0%,4.60,3.95,100%,0%,0%,0%,0%,5.00,4.10,10.00
HIST 2444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 2445,50%,17%,17%,17%,0%,4.00,4.22,17%,67%,17%,0%,0%,4.00,4.22,60%,20%,20%,0%,0%,4.40,4.10,50%,50%,0%,0%,0%,4.50,4.11,100%,0%,0%,0%,0%,5.00,4.25,7.50
HIST 2459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 2651,100%,0%,0%,0%,0%,5.00,4.26,80%,20%,0%,0%,0%,4.80,4.25,100%,0%,0%,0%,0%,5.00,4.10,100%,0%,0%,0%,0%,5.00,4.11,100%,0%,0%,0%,0%,5.00,4.22,15.33
HIST 2884,100%,0%,0%,0%,0%,5.00,4.18,100%,0%,0%,0%,0%,5.00,4.19,100%,0%,0%,0%,0%,5.00,4.05,100%,0%,0%,0%,0%,5.00,4.08,N/A,N/A,N/A,N/A,N/A,NRP,4.22,8.00
HIST 2919A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 2919B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 2950A,50%,50%,0%,0%,0%,4.50,4.20,50%,25%,25%,0%,0%,4.25,4.18,100%,0%,0%,0%,0%,5.00,4.04,33%,33%,33%,0%,0%,4.00,4.07,N/A,N/A,N/A,N/A,N/A,NRP,4.20,11.75
HIST 2950B,50%,17%,33%,0%,0%,4.17,4.22,33%,33%,33%,0%,0%,4.00,4.22,80%,0%,20%,0%,0%,4.60,4.10,40%,20%,20%,20%,0%,3.80,4.11,100%,0%,0%,0%,0%,5.00,4.25,7.80
HIST 2968,56%,44%,0%,0%,0%,4.56,4.26,38%,63%,0%,0%,0%,4.38,4.25,63%,38%,0%,0%,0%,4.63,4.10,50%,25%,13%,13%,0%,4.13,4.11,67%,33%,0%,0%,0%,4.67,4.22,5.38
HIST 3000 001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3000 058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
