class_name,class_tag,instructors,term,session,start_date,end_date,days,start_time,end_time,class_number,course_id,consent,enrolled,school,department,subject,location,units,course_component,grading_basis,cross_reg,exam/final_deadline,class_capacity,instruction_mode,curriculum_phase,visiting_clerks,required_course,distributional_electives,mds/mde_rec._elec.,up_project_based,up_concentration,up_methods,limited_enrollment,studio_option,academic_areas,waitlist,credit_type
Family Medicine - Advanced Primary Care,AC 507M 1J,['Katherine Miller'],2023 Fall,Full Term,7/5/2023,7/30/2023,,,,10107,217948,Instructor,,Harvard Medical School,Program in Medical Education,Primary Care,,0-4,Discipline Specific,HMS Clinical Grading,N/A,,No Limit,In Person,Post-PCE,NO,,,,,,,,,,,
Family Medicine - Advanced Primary Care,AC 507M 1J,,2024 Spring,Full Term,1/3/2024,1/28/2024,,,,17657,217948,Instructor,,Harvard Medical School,Program in Medical Education,Primary Care,,0-4,Discipline Specific,HMS Clinical Grading,N/A,,No Limit,In Person,Post-PCE,NO,,,,,,,,,,,
Family Medicine - Advanced Primary Care,AC 507M 2J,['Katherine Miller'],2023 Fall,Full Term,7/31/2023,8/27/2023,,,,10138,217948,Instructor,,Harvard Medical School,Program in Medical Education,Primary Care,,0-4,Discipline Specific,HMS Clinical Grading,Not Available for Cross Registration,,No Limit,In Person,Post-PCE,NO,,,,,,,,,,,
Family Medicine - Advanced Primary Care,AC 507M 2J,,2024 Spring,Full Term,1/29/2024,2/25/2024,,,,17919,217948,Instructor,,Harvard Medical School,Program in Medical Education,Primary Care,,0-4,Discipline Specific,HMS Clinical Grading,N/A,,No Limit,In Person,Post-PCE,NO,,,,,,,,,,,
Family Medicine - Advanced Primary Care,AC 507M 3J,,2023 Fall,Full Term,8/28/2023,9/24/2023,,,,25836,217948,Instructor,,Harvard Medical School,Program in Medical Education,Primary Care,,0-4,Discipline Specific,HMS Clinical Grading,N/A,,No Limit,In Person,Post-PCE,NO,,,,,,,,,,,
Family Medicine - Advanced Primary Care,AC 507M 3J,,2024 Spring,Full Term,2/26/2024,3/24/2024,,,,18204,217948,Instructor,,Harvard Medical School,Program in Medical Education,Primary Care,,0-4,Discipline Specific,HMS Clinical Grading,N/A,,No Limit,In Person,Post-PCE,NO,,,,,,,,,,,
Family Medicine - Advanced Primary Care,AC 507M 4J,,2023 Fall,Full Term,9/25/2023,10/22/2023,,,,26057,217948,Instructor,,Harvard Medical School,Program in Medical Education,Primary Care,,0-4,Discipline Specific,HMS Clinical Grading,N/A,,No Limit,In Person,Post-PCE,NO,,,,,,,,,,,
Family Medicine - Advanced Primary Care,AC 507M 4J,,2024 Spring,Full Term,4/1/2024,4/28/2024,,,,18491,217948,Instructor,,Harvard Medical School,Program in Medical Education,Primary Care,,0-4,Discipline Specific,HMS Clinical Grading,N/A,,No Limit,In Person,Post-PCE,NO,,,,,,,,,,,
Family Medicine - Advanced Primary Care,AC 507M 5J,,2023 Fall,Full Term,10/23/2023,11/19/2023,,,,26351,217948,Instructor,,Harvard Medical School,Program in Medical Education,Primary Care,,0-4,Discipline Specific,HMS Clinical Grading,N/A,,No Limit,In Person,Post-PCE,NO,,,,,,,,,,,
Family Medicine - Advanced Primary Care,AC 507M 5J,,2024 Spring,Full Term,4/29/2024,5/26/2024,,,,18752,217948,Instructor,,Harvard Medical School,Program in Medical Education,Primary Care,,0-4,Discipline Specific,HMS Clinical Grading,N/A,,No Limit,In Person,Post-PCE,NO,,,,,,,,,,,
Family Medicine - Advanced Primary Care,AC 507M 6J,,2023 Fall,Full Term,11/20/2023,12/17/2023,,,,26622,217948,Instructor,,Harvard Medical School,Program in Medical Education,Primary Care,,0-4,Discipline Specific,HMS Clinical Grading,N/A,,No Limit,In Person,Post-PCE,NO,,,,,,,,,,,
Family Medicine - Advanced Primary Care,AC 507M 6J,,2024 Spring,Full Term,5/28/2024,6/23/2024,,,,18999,217948,Instructor,,Harvard Medical School,Program in Medical Education,Primary Care,,0-4,Discipline Specific,HMS Clinical Grading,N/A,,No Limit,In Person,Post-PCE,NO,,,,,,,,,,,
Primary Care Internal Medicine/Pediatrics at CHA-Revere,AC 510M 1,,2023 Fall,Full Term,7/5/2023,7/30/2023,,,,10093,219539,Instructor,,Harvard Medical School,Program in Medical Education,Primary Care,,4,Discipline Specific,HMS Clinical Grading,N/A,,No Limit,In Person,N/A,NO,,,,,,,,,,,
Primary Care Internal Medicine/Pediatrics at CHA-Revere,AC 510M 1,,2024 Spring,Full Term,1/3/2024,1/28/2024,,,,17558,219539,Instructor,,Harvard Medical School,Program in Medical Education,Primary Care,,4,Discipline Specific,HMS Clinical Grading,N/A,,No Limit,In Person,Post-PCE,NO,,,,,,,,,,,
Primary Care Internal Medicine/Pediatrics at CHA-Revere,AC 510M 2,['Lenna Finger'],2023 Fall,Full Term,7/31/2023,8/27/2023,,,,10124,219539,Instructor,,Harvard Medical School,Program in Medical Education,Primary Care,,4,Discipline Specific,HMS Clinical Grading,Not Available for Cross Registration,,No Limit,In Person,Post-PCE,NO,,,,,,,,,,,
Primary Care Internal Medicine/Pediatrics at CHA-Revere,AC 510M 2,,2024 Spring,Full Term,1/29/2024,2/25/2024,,,,17821,219539,Instructor,,Harvard Medical School,Program in Medical Education,Primary Care,,4,Discipline Specific,HMS Clinical Grading,N/A,,No Limit,In Person,Post-PCE,NO,,,,,,,,,,,
Primary Care Internal Medicine/Pediatrics at CHA-Revere,AC 510M 3,,2023 Fall,Full Term,9/25/2023,10/22/2023,,,,25958,219539,Instructor,,Harvard Medical School,Program in Medical Education,Primary Care,,4,Discipline Specific,HMS Clinical Grading,N/A,,No Limit,In Person,Post-PCE,NO,,,,,,,,,,,
Primary Care Internal Medicine/Pediatrics at CHA-Revere,AC 510M 3,,2024 Spring,Full Term,2/26/2024,3/24/2024,,,,18106,219539,Instructor,,Harvard Medical School,Program in Medical Education,Primary Care,,4,Discipline Specific,HMS Clinical Grading,N/A,,No Limit,In Person,Post-PCE,NO,,,,,,,,,,,
Primary Care Internal Medicine/Pediatrics at CHA-Revere,AC 510M 4,,2023 Fall,Full Term,10/23/2023,11/19/2023,,,,26252,219539,Instructor,,Harvard Medical School,Program in Medical Education,Primary Care,,4,Discipline Specific,HMS Clinical Grading,N/A,,No Limit,In Person,Post-PCE,NO,,,,,,,,,,,
Primary Care Internal Medicine/Pediatrics at CHA-Revere,AC 510M 4,,2024 Spring,Full Term,4/1/2024,4/28/2024,,,,18393,219539,Instructor,,Harvard Medical School,Program in Medical Education,Primary Care,,4,Discipline Specific,HMS Clinical Grading,N/A,,No Limit,In Person,Post-PCE,NO,,,,,,,,,,,
Primary Care Internal Medicine/Pediatrics at CHA-Revere,AC 510M 5,,2023 Fall,Full Term,11/20/2023,12/17/2023,,,,26523,219539,Instructor,,Harvard Medical School,Program in Medical Education,Primary Care,,4,Discipline Specific,HMS Clinical Grading,N/A,,No Limit,In Person,Post-PCE,NO,,,,,,,,,,,
Primary Care Internal Medicine/Pediatrics at CHA-Revere,AC 510M 5,,2024 Spring,Full Term,4/29/2024,5/26/2024,,,,18653,219539,Instructor,,Harvard Medical School,Program in Medical Education,Primary Care,,4,Discipline Specific,HMS Clinical Grading,N/A,,No Limit,In Person,Post-PCE,NO,,,,,,,,,,,
Primary Care Internal Medicine/Pediatrics at CHA-Revere,AC 510M 6,,2024 Spring,Full Term,5/28/2024,6/23/2024,,,,18900,219539,Instructor,,Harvard Medical School,Program in Medical Education,Primary Care,,4,Discipline Specific,HMS Clinical Grading,N/A,,No Limit,In Person,Post-PCE,NO,,,,,,,,,,,
Primary Care Internal Medicine/Pediatrics at CHA-Revere,AC 510M 51,,2023 Fall,Full Term,8/28/2023,9/24/2023,,,,26856,219539,Instructor,,Harvard Medical School,Program in Medical Education,Primary Care,,4,Discipline Specific,HMS Clinical Grading,N/A,,No Limit,In Person,Post-PCE,NO,,,,,,,,,,,
