class_name,class_tag,instructors,term,session,start_date,end_date,days,start_time,end_time,class_number,course_id,consent,enrolled,school,department,subject,location,units,course_component,grading_basis,cross_reg,exam/final_deadline,class_capacity,instruction_mode,curriculum_phase,visiting_clerks,required_course,distributional_electives,mds/mde_rec._elec.,up_project_based,up_concentration,up_methods,limited_enrollment,studio_option,academic_areas,waitlist,credit_type
Directed Study,ENGLISH 397 002,['Homi Bhabha'],2023 Fall,Dynamically Dated,9/5/2023,12/5/2023,15110,118927,Instructor,No Limit,Faculty of Arts & Sciences,English,English,4-16,Reading and Research,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,,,,,,Cambridge Campus,,,,,,,,,,,,,
Directed Study,ENGLISH 397 002,['Homi Bhabha'],2024 Spring,Dynamically Dated,1/22/2024,4/24/2024,12712,118927,Instructor,No Limit,Faculty of Arts & Sciences,English,English,4-16,Reading and Research,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,,,,,,Cambridge Campus,,,,,,,,,,,,,
Directed Study,ENGLISH 397 003,['Stephanie Burt'],2023 Fall,Dynamically Dated,9/5/2023,12/5/2023,13590,118927,Instructor,No Limit,Faculty of Arts & Sciences,English,English,4-16,Reading and Research,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,,,,,,Cambridge Campus,,,,,,,,,,,,,
Directed Study,ENGLISH 397 003,['Stephanie Burt'],2024 Spring,Dynamically Dated,1/22/2024,4/24/2024,12713,118927,Instructor,No Limit,Faculty of Arts & Sciences,English,English,4-16,Reading and Research,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,,,,,,Cambridge Campus,,,,,,,,,,,,,
Directed Study,ENGLISH 397 004,['Beth Blum'],2023 Fall,Dynamically Dated,9/5/2023,12/5/2023,15111,118927,Instructor,No Limit,Faculty of Arts & Sciences,English,English,4-16,Reading and Research,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,,,,,,Cambridge Campus,,,,,,,,,,,,,
Directed Study,ENGLISH 397 004,['Glenda Carpio'],2024 Spring,Dynamically Dated,1/22/2024,4/24/2024,12714,118927,Instructor,No Limit,Faculty of Arts & Sciences,English,English,4-16,Reading and Research,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,,,,,,Cambridge Campus,,,,,,,,,,,,,
Directed Study,ENGLISH 397 005,['Amanda Claybaugh'],2023 Fall,Dynamically Dated,9/5/2023,12/5/2023,13591,118927,Instructor,No Limit,Faculty of Arts & Sciences,English,English,4-16,Reading and Research,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,,,,,,Cambridge Campus,,,,,,,,,,,,,
Directed Study,ENGLISH 397 005,['Amanda Claybaugh'],2024 Spring,Dynamically Dated,1/22/2024,4/24/2024,12715,118927,Instructor,No Limit,Faculty of Arts & Sciences,English,English,4-16,Reading and Research,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,,,,,,Cambridge Campus,,,,,,,,,,,,,
Directed Study,ENGLISH 397 006,['Daniel Donoghue'],2023 Fall,Dynamically Dated,9/5/2023,12/5/2023,13592,118927,Instructor,No Limit,Faculty of Arts & Sciences,English,English,4-16,Reading and Research,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,,,,,,Cambridge Campus,,,,,,,,,,,,,
Directed Study,ENGLISH 397 006,['Daniel Donoghue'],2024 Spring,Dynamically Dated,1/22/2024,4/24/2024,12716,118927,Instructor,No Limit,Faculty of Arts & Sciences,English,English,4-16,Reading and Research,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,,,,,,Cambridge Campus,,,,,,,,,,,,,
Directed Study,ENGLISH 397 007,['James Engell'],2023 Fall,Dynamically Dated,9/5/2023,12/5/2023,13593,118927,Instructor,No Limit,Faculty of Arts & Sciences,English,English,4-16,Reading and Research,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,,,,,,Cambridge Campus,,,,,,,,,,,,,
Directed Study,ENGLISH 397 007,['James Engell'],2024 Spring,Dynamically Dated,1/22/2024,4/24/2024,12717,118927,Instructor,No Limit,Faculty of Arts & Sciences,English,English,4-16,Reading and Research,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,,,,,,Cambridge Campus,,,,,,,,,,,,,
Directed Study,ENGLISH 397 008,['Glenda Carpio'],2023 Fall,Dynamically Dated,9/5/2023,12/5/2023,15112,118927,Instructor,No Limit,Faculty of Arts & Sciences,English,English,4-16,Reading and Research,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,,,,,,Cambridge Campus,,,,,,,,,,,,,
Directed Study,ENGLISH 397 008,['Philip Fisher'],2024 Spring,Dynamically Dated,1/22/2024,4/24/2024,12718,118927,Instructor,No Limit,Faculty of Arts & Sciences,English,English,4-16,Reading and Research,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,,,,,,Cambridge Campus,,,,,,,,,,,,,
Directed Study,ENGLISH 397 009,['Sarah Dimick'],2023 Fall,Dynamically Dated,9/5/2023,12/5/2023,15113,118927,Instructor,No Limit,Faculty of Arts & Sciences,English,English,4-16,Reading and Research,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,,,,,,Cambridge Campus,,,,,,,,,,,,,
Directed Study,ENGLISH 397 009,['Marjorie Garber'],2024 Spring,Dynamically Dated,1/22/2024,4/24/2024,12719,118927,Instructor,No Limit,Faculty of Arts & Sciences,English,English,4-16,Reading and Research,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,,,,,,Cambridge Campus,,,,,,,,,,,,,
Directed Study,ENGLISH 397 010,['Philip Fisher'],2023 Fall,Dynamically Dated,9/5/2023,12/5/2023,15114,118927,Instructor,No Limit,Faculty of Arts & Sciences,English,English,4-16,Reading and Research,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,,,,,,Cambridge Campus,,,,,,,,,,,,,
Directed Study,ENGLISH 397 010,['Henry Gates'],2024 Spring,Dynamically Dated,1/22/2024,4/24/2024,12720,118927,Instructor,No Limit,Faculty of Arts & Sciences,English,English,4-16,Reading and Research,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,,,,,,Cambridge Campus,,,,,,,,,,,,,
Directed Study,ENGLISH 397 011,['Jorie Graham'],2023 Fall,Dynamically Dated,9/5/2023,12/5/2023,13594,118927,Instructor,No Limit,Faculty of Arts & Sciences,English,English,4-16,Reading and Research,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,,,,,,Cambridge Campus,,,,,,,,,,,,,
Directed Study,ENGLISH 397 011,['Jorie Graham'],2024 Spring,Dynamically Dated,1/22/2024,4/24/2024,12721,118927,Instructor,No Limit,Faculty of Arts & Sciences,English,English,4-16,Reading and Research,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,,,,,,Cambridge Campus,,,,,,,,,,,,,
Directed Study,ENGLISH 397 012,['Stephen Greenblatt'],2023 Fall,Dynamically Dated,9/5/2023,12/5/2023,13595,118927,Instructor,No Limit,Faculty of Arts & Sciences,English,English,4-16,Reading and Research,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,,,,,,Cambridge Campus,,,,,,,,,,,,,
Directed Study,ENGLISH 397 012,['Stephen Greenblatt'],2024 Spring,Dynamically Dated,1/22/2024,4/24/2024,12722,118927,Instructor,No Limit,Faculty of Arts & Sciences,English,English,4-16,Reading and Research,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,,,,,,Cambridge Campus,,,,,,,,,,,,,
Directed Study,ENGLISH 397 013,['Ju Yon Kim'],2023 Fall,Dynamically Dated,9/5/2023,12/5/2023,13596,118927,Instructor,No Limit,Faculty of Arts & Sciences,English,English,4-16,Reading and Research,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,,,,,,Cambridge Campus,,,,,,,,,,,,,
Directed Study,ENGLISH 397 013,['Ju Yon Kim'],2024 Spring,Dynamically Dated,1/22/2024,4/24/2024,12723,118927,Instructor,No Limit,Faculty of Arts & Sciences,English,English,4-16,Reading and Research,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,,,,,,Cambridge Campus,,,,,,,,,,,,,
Directed Study,ENGLISH 397 014,['Marjorie Garber'],2023 Fall,Dynamically Dated,9/5/2023,12/5/2023,15115,118927,Instructor,No Limit,Faculty of Arts & Sciences,English,English,4-16,Reading and Research,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,,,,,,Cambridge Campus,,,,,,,,,,,,,
Directed Study,ENGLISH 397 014,['Deidre Lynch'],2024 Spring,Dynamically Dated,1/22/2024,4/24/2024,12724,118927,Instructor,No Limit,Faculty of Arts & Sciences,English,English,4-16,Reading and Research,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,,,,,,Cambridge Campus,,,,,,,,,,,,,
Directed Study,ENGLISH 397 015,['Henry Gates'],2023 Fall,Dynamically Dated,9/5/2023,12/5/2023,15116,118927,Instructor,No Limit,Faculty of Arts & Sciences,English,English,4-16,Reading and Research,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,,,,,,Cambridge Campus,,,,,,,,,,,,,
Directed Study,ENGLISH 397 015,['Louis Menand'],2024 Spring,Dynamically Dated,1/22/2024,4/24/2024,12725,118927,Instructor,No Limit,Faculty of Arts & Sciences,English,English,4-16,Reading and Research,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,,,,,,Cambridge Campus,,,,,,,,,,,,,
Directed Study,ENGLISH 397 016,['Derek Miller'],2023 Fall,Dynamically Dated,9/5/2023,12/5/2023,13597,118927,Instructor,No Limit,Faculty of Arts & Sciences,English,English,4-16,Reading and Research,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,,,,,,Cambridge Campus,,,,,,,,,,,,,
Directed Study,ENGLISH 397 016,['Derek Miller'],2024 Spring,Dynamically Dated,1/22/2024,4/24/2024,12726,118927,Instructor,,Faculty of Arts & Sciences,English,English,4-16,Reading and Research,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,,,,,,Cambridge Campus,,,,,,,,,,,,,
Directed Study,ENGLISH 397 017,['Elisa New'],2023 Fall,Dynamically Dated,9/5/2023,12/5/2023,13598,118927,Instructor,No Limit,Faculty of Arts & Sciences,English,English,4-16,Reading and Research,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,,,,,,Cambridge Campus,,,,,,,,,,,,,
Directed Study,ENGLISH 397 017,['Elisa New'],2024 Spring,Dynamically Dated,1/22/2024,4/24/2024,12727,118927,Instructor,No Limit,Faculty of Arts & Sciences,English,English,4-16,Reading and Research,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,,,,,,Cambridge Campus,,,,,,,,,,,,,
Directed Study,ENGLISH 397 018,['Deidre Lynch'],2023 Fall,Dynamically Dated,9/5/2023,12/5/2023,15117,118927,Instructor,No Limit,Faculty of Arts & Sciences,English,English,4-16,Reading and Research,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,,,,,,Cambridge Campus,,,,,,,,,,,,,
Directed Study,ENGLISH 397 018,['Beth Blum'],2024 Spring,Dynamically Dated,1/22/2024,4/24/2024,14379,118927,Instructor,No Limit,Faculty of Arts & Sciences,English,English,4-16,Reading and Research,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,,,,,,Cambridge Campus,,,,,,,,,,,,,
Directed Study,ENGLISH 397 019,['Louis Menand'],2023 Fall,Dynamically Dated,9/5/2023,12/5/2023,15118,118927,Instructor,No Limit,Faculty of Arts & Sciences,English,English,4-16,Reading and Research,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,,,,,,Cambridge Campus,,,,,,,,,,,,,
Directed Study,ENGLISH 397 019,['Sarah Dimick'],2024 Spring,Dynamically Dated,1/22/2024,4/24/2024,14380,118927,Instructor,No Limit,Faculty of Arts & Sciences,English,English,4-16,Reading and Research,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,,,,,,Cambridge Campus,,,,,,,,,,,,,
Directed Study,ENGLISH 397 020,['Martin Puchner'],2023 Fall,Dynamically Dated,9/5/2023,12/5/2023,13599,118927,Instructor,No Limit,Faculty of Arts & Sciences,English,English,4-16,Reading and Research,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,,,,,,Cambridge Campus,,,,,,,,,,,,,
Directed Study,ENGLISH 397 020,['Martin Puchner'],2024 Spring,Dynamically Dated,1/22/2024,4/24/2024,12728,118927,Instructor,No Limit,Faculty of Arts & Sciences,English,English,4-16,Reading and Research,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,,,,,,Cambridge Campus,,,,,,,,,,,,,
Directed Study,ENGLISH 397 021,['Peter Sacks'],2023 Fall,Dynamically Dated,9/5/2023,12/5/2023,13600,118927,Instructor,No Limit,Faculty of Arts & Sciences,English,English,4-16,Reading and Research,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,,,,,,Cambridge Campus,,,,,,,,,,,,,
Directed Study,ENGLISH 397 021,['Peter Sacks'],2024 Spring,Dynamically Dated,1/22/2024,4/24/2024,12729,118927,Instructor,No Limit,Faculty of Arts & Sciences,English,English,4-16,Reading and Research,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,,,,,,Cambridge Campus,,,,,,,,,,,,,
Directed Study,ENGLISH 397 022,['Vidyan Ravinthiran'],2023 Fall,Dynamically Dated,9/5/2023,12/5/2023,15119,118927,Instructor,No Limit,Faculty of Arts & Sciences,English,English,4-16,Reading and Research,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,,,,,,Cambridge Campus,,,,,,,,,,,,,
Directed Study,ENGLISH 397 022,['Elaine Scarry'],2024 Spring,Dynamically Dated,1/22/2024,4/24/2024,12730,118927,Instructor,No Limit,Faculty of Arts & Sciences,English,English,4-16,Reading and Research,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,,,,,,Cambridge Campus,,,,,,,,,,,,,
Directed Study,ENGLISH 397 023,['Kelly Rich'],2023 Fall,Dynamically Dated,9/5/2023,12/5/2023,15120,118927,Instructor,No Limit,Faculty of Arts & Sciences,English,English,4-16,Reading and Research,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,,,,,,Cambridge Campus,,,,,,,,,,,,,
Directed Study,ENGLISH 397 023,['Marc Shell'],2024 Spring,Dynamically Dated,1/22/2024,4/24/2024,12731,118927,Instructor,No Limit,Faculty of Arts & Sciences,English,English,4-16,Reading and Research,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,,,,,,Cambridge Campus,,,,,,,,,,,,,
Directed Study,ENGLISH 397 024,['James Simpson'],2023 Fall,Dynamically Dated,9/5/2023,12/5/2023,13601,118927,Instructor,No Limit,Faculty of Arts & Sciences,English,English,4-16,Reading and Research,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,,,,,,Cambridge Campus,,,,,,,,,,,,,
Directed Study,ENGLISH 397 024,['James Simpson'],2024 Spring,Dynamically Dated,1/22/2024,4/24/2024,12732,118927,Instructor,No Limit,Faculty of Arts & Sciences,English,English,4-16,Reading and Research,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,,,,,,Cambridge Campus,,,,,,,,,,,,,
Directed Study,ENGLISH 397 025,['John Stauffer'],2023 Fall,Dynamically Dated,9/5/2023,12/5/2023,13602,118927,Instructor,No Limit,Faculty of Arts & Sciences,English,English,4-16,Reading and Research,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,,,,,,Cambridge Campus,,,,,,,,,,,,,
Directed Study,ENGLISH 397 025,['John Stauffer'],2024 Spring,Dynamically Dated,1/22/2024,4/24/2024,12733,118927,Instructor,No Limit,Faculty of Arts & Sciences,English,English,4-16,Reading and Research,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,,,,,,Cambridge Campus,,,,,,,,,,,,,
Directed Study,ENGLISH 397 026,['Gordon Teskey'],2023 Fall,Dynamically Dated,9/5/2023,12/5/2023,13603,118927,Instructor,No Limit,Faculty of Arts & Sciences,English,English,4-16,Reading and Research,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,,,,,,Cambridge Campus,,,,,,,,,,,,,
Directed Study,ENGLISH 397 026,['Gordon Teskey'],2024 Spring,Dynamically Dated,1/22/2024,4/24/2024,12734,118927,Instructor,No Limit,Faculty of Arts & Sciences,English,English,4-16,Reading and Research,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,,,,,,Cambridge Campus,,,,,,,,,,,,,
Directed Study,ENGLISH 397 027,['Elaine Scarry'],2023 Fall,Dynamically Dated,9/5/2023,12/5/2023,15121,118927,Instructor,No Limit,Faculty of Arts & Sciences,English,English,4-16,Reading and Research,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,,,,,,Cambridge Campus,,,,,,,,,,,,,
Directed Study,ENGLISH 397 027,['Jesse McCarthy'],2024 Spring,Dynamically Dated,1/22/2024,4/24/2024,14381,118927,Instructor,No Limit,Faculty of Arts & Sciences,English,English,4-16,Reading and Research,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,,,,,,Cambridge Campus,,,,,,,,,,,,,
Directed Study,ENGLISH 397 028,['Marc Shell'],2023 Fall,Dynamically Dated,9/5/2023,12/5/2023,15122,118927,Instructor,No Limit,Faculty of Arts & Sciences,English,English,4-16,Reading and Research,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,,,,,,Cambridge Campus,,,,,,,,,,,,,
Directed Study,ENGLISH 397 028,['Vidyan Ravinthiran'],2024 Spring,Dynamically Dated,1/22/2024,4/24/2024,14382,118927,Instructor,No Limit,Faculty of Arts & Sciences,English,English,4-16,Reading and Research,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,,,,,,Cambridge Campus,,,,,,,,,,,,,
Directed Study,ENGLISH 397 029,['Nicholas Watson'],2023 Fall,Dynamically Dated,9/5/2023,12/5/2023,13604,118927,Instructor,No Limit,Faculty of Arts & Sciences,English,English,4-16,Reading and Research,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,,,,,,Cambridge Campus,,,,,,,,,,,,,
Directed Study,ENGLISH 397 029,['Nicholas Watson'],2024 Spring,Dynamically Dated,1/22/2024,4/24/2024,12735,118927,Instructor,No Limit,Faculty of Arts & Sciences,English,English,4-16,Reading and Research,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,,,,,,Cambridge Campus,,,,,,,,,,,,,
Directed Study,ENGLISH 397 030,['Leah Whittington'],2023 Fall,Dynamically Dated,9/5/2023,12/5/2023,13605,118927,Instructor,No Limit,Faculty of Arts & Sciences,English,English,4-16,Reading and Research,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,,,,,,Cambridge Campus,,,,,,,,,,,,,
Directed Study,ENGLISH 397 030,['Leah Whittington'],2024 Spring,Dynamically Dated,1/22/2024,4/24/2024,12736,118927,Instructor,No Limit,Faculty of Arts & Sciences,English,English,4-16,Reading and Research,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,,,,,,Cambridge Campus,,,,,,,,,,,,,
Directed Study,ENGLISH 397 031,['James Wood'],2023 Fall,Dynamically Dated,9/5/2023,12/5/2023,13606,118927,Instructor,No Limit,Faculty of Arts & Sciences,English,English,4-16,Reading and Research,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,,,,,,Cambridge Campus,,,,,,,,,,,,,
Directed Study,ENGLISH 397 031,['James Wood'],2024 Spring,Dynamically Dated,1/22/2024,4/24/2024,12737,118927,Instructor,No Limit,Faculty of Arts & Sciences,English,English,4-16,Reading and Research,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,,,,,,Cambridge Campus,,,,,,,,,,,,,
Directed Study,ENGLISH 397 032,['Anna Wilson'],2023 Fall,Dynamically Dated,9/5/2023,12/5/2023,15123,118927,Instructor,No Limit,Faculty of Arts & Sciences,English,English,4-16,Reading and Research,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,,,,,,Cambridge Campus,,,,,,,,,,,,,
Directed Study,ENGLISH 397 032,['Kelly Rich'],2024 Spring,Dynamically Dated,1/22/2024,4/24/2024,14383,118927,Instructor,No Limit,Faculty of Arts & Sciences,English,English,4-16,Reading and Research,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,,,,,,Cambridge Campus,,,,,,,,,,,,,
Directed Study,ENGLISH 397 033,['Anna Wilson'],2024 Spring,Dynamically Dated,1/22/2024,4/24/2024,14384,118927,Instructor,No Limit,Faculty of Arts & Sciences,English,English,4-16,Reading and Research,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,,,,,,Cambridge Campus,,,,,,,,,,,,,
Direction of Doctoral Dissertations,ENGLISH 398 001,['Daniel Donoghue'],2023 Fall,Full Term,9/5/2023,12/5/2023,12964,117540,Instructor,No Limit,Faculty of Arts & Sciences,English,English,4-16,Doctoral Dissertation,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,,,,,,Cambridge Campus,,,,,,,,,,,,,
Direction of Doctoral Dissertations,ENGLISH 398 002,['Homi Bhabha'],2023 Fall,Full Term,9/5/2023,12/5/2023,13551,117540,Instructor,No Limit,Faculty of Arts & Sciences,English,English,4-16,Doctoral Dissertation,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,,,,,,Cambridge Campus,,,,,,,,,,,,,
Direction of Doctoral Dissertations,ENGLISH 398 002,['Homi Bhabha'],2024 Spring,Full Term,1/22/2024,4/24/2024,12686,117540,Instructor,No Limit,Faculty of Arts & Sciences,English,English,4-16,Doctoral Dissertation,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,,,,,,Cambridge Campus,,,,,,,,,,,,,
Direction of Doctoral Dissertations,ENGLISH 398 003,['Stephanie Burt'],2023 Fall,Full Term,9/5/2023,12/5/2023,13552,117540,Instructor,No Limit,Faculty of Arts & Sciences,English,English,4-16,Doctoral Dissertation,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,,,,,,Cambridge Campus,,,,,,,,,,,,,
Direction of Doctoral Dissertations,ENGLISH 398 003,['Stephanie Burt'],2024 Spring,Full Term,1/22/2024,4/24/2024,12687,117540,Instructor,No Limit,Faculty of Arts & Sciences,English,English,4-16,Doctoral Dissertation,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,,,,,,Cambridge Campus,,,,,,,,,,,,,
Direction of Doctoral Dissertations,ENGLISH 398 004,['Glenda Carpio'],2023 Fall,Full Term,9/5/2023,12/5/2023,13553,117540,Instructor,No Limit,Faculty of Arts & Sciences,English,English,4-16,Doctoral Dissertation,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,,,,,,Cambridge Campus,,,,,,,,,,,,,
Direction of Doctoral Dissertations,ENGLISH 398 004,['Glenda Carpio'],2024 Spring,Full Term,1/22/2024,4/24/2024,12688,117540,Instructor,No Limit,Faculty of Arts & Sciences,English,English,4-16,Doctoral Dissertation,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,,,,,,Cambridge Campus,,,,,,,,,,,,,
Direction of Doctoral Dissertations,ENGLISH 398 005,['Amanda Claybaugh'],2023 Fall,Full Term,9/5/2023,12/5/2023,13554,117540,Instructor,No Limit,Faculty of Arts & Sciences,English,English,4-16,Doctoral Dissertation,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,,,,,,Cambridge Campus,,,,,,,,,,,,,
Direction of Doctoral Dissertations,ENGLISH 398 005,['Amanda Claybaugh'],2024 Spring,Full Term,1/22/2024,4/24/2024,12689,117540,Instructor,No Limit,Faculty of Arts & Sciences,English,English,4-16,Doctoral Dissertation,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,,,,,,Cambridge Campus,,,,,,,,,,,,,
Direction of Doctoral Dissertations,ENGLISH 398 006,['Daniel Donoghue'],2023 Fall,Full Term,9/5/2023,12/5/2023,13555,117540,Instructor,No Limit,Faculty of Arts & Sciences,English,English,4-16,Doctoral Dissertation,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,,,,,,Cambridge Campus,,,,,,,,,,,,,
Direction of Doctoral Dissertations,ENGLISH 398 006,['Daniel Donoghue'],2024 Spring,Full Term,1/22/2024,4/24/2024,12690,117540,Instructor,No Limit,Faculty of Arts & Sciences,English,English,4-16,Doctoral Dissertation,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,,,,,,Cambridge Campus,,,,,,,,,,,,,
Direction of Doctoral Dissertations,ENGLISH 398 007,['James Engell'],2023 Fall,Full Term,9/5/2023,12/5/2023,13556,117540,Instructor,No Limit,Faculty of Arts & Sciences,English,English,4-16,Doctoral Dissertation,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,,,,,,Cambridge Campus,,,,,,,,,,,,,
Direction of Doctoral Dissertations,ENGLISH 398 007,['James Engell'],2024 Spring,Full Term,1/22/2024,4/24/2024,12691,117540,Instructor,No Limit,Faculty of Arts & Sciences,English,English,4-16,Doctoral Dissertation,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,,,,,,Cambridge Campus,,,,,,,,,,,,,
Direction of Doctoral Dissertations,ENGLISH 398 008,['Philip Fisher'],2023 Fall,Full Term,9/5/2023,12/5/2023,13557,117540,Instructor,No Limit,Faculty of Arts & Sciences,English,English,4-16,Doctoral Dissertation,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,,,,,,Cambridge Campus,,,,,,,,,,,,,
Direction of Doctoral Dissertations,ENGLISH 398 008,['Philip Fisher'],2024 Spring,Full Term,1/22/2024,4/24/2024,12692,117540,Instructor,No Limit,Faculty of Arts & Sciences,English,English,4-16,Doctoral Dissertation,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,,,,,,Cambridge Campus,,,,,,,,,,,,,
Direction of Doctoral Dissertations,ENGLISH 398 009,['Marjorie Garber'],2024 Spring,Full Term,1/22/2024,4/24/2024,12693,117540,Instructor,No Limit,Faculty of Arts & Sciences,English,English,4-16,Doctoral Dissertation,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,,,,,,Cambridge Campus,,,,,,,,,,,,,
Direction of Doctoral Dissertations,ENGLISH 398 010,['Henry Gates'],2023 Fall,Full Term,9/5/2023,12/5/2023,13558,117540,Instructor,No Limit,Faculty of Arts & Sciences,English,English,4-16,Doctoral Dissertation,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,,,,,,Cambridge Campus,,,,,,,,,,,,,
Direction of Doctoral Dissertations,ENGLISH 398 010,['Henry Gates'],2024 Spring,Full Term,1/22/2024,4/24/2024,12694,117540,Instructor,No Limit,Faculty of Arts & Sciences,English,English,4-16,Doctoral Dissertation,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,,,,,,Cambridge Campus,,,,,,,,,,,,,
Direction of Doctoral Dissertations,ENGLISH 398 011,['Jorie Graham'],2023 Fall,Full Term,9/5/2023,12/5/2023,13559,117540,Instructor,No Limit,Faculty of Arts & Sciences,English,English,4-16,Doctoral Dissertation,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,,,,,,Cambridge Campus,,,,,,,,,,,,,
Direction of Doctoral Dissertations,ENGLISH 398 011,['Jorie Graham'],2024 Spring,Full Term,1/22/2024,4/24/2024,12695,117540,Instructor,No Limit,Faculty of Arts & Sciences,English,English,4-16,Doctoral Dissertation,FAS Satisfactory/Unsatisfactory,Available for Harvard Cross Registration,,,,,,,Cambridge Campus,,,,,,,,,,,,,
